index,title,random_sentence,url,categories
256,Cadavre exquis,"Les premiers joueurs furent Yves Tanguy, Marcel Duhamel, Jacques Prévert, Benjamin Péret, Pierre Reverdy, André Breton, Max Ernst et Frida Kahlo.",fr.wikipedia.org/wiki/Cadavre_exquis,"Catégorie:Article de Wikipédia avec notice d'autorité, Catégorie:Article utilisant le modèle Dictionnaires inactif, Catégorie:Humour dans l'art et la culture, Catégorie:Jeu de mots, Catégorie:Littérature policière, Catégorie:Page utilisant un modèle Bases inactif, Catégorie:Portail:Dada et Surréalisme/Articles liés, Catégorie:Portail:Jeux/Articles liés, Catégorie:Portail:Littérature/Articles liés, Catégorie:Portail:Loisirs et divertissements/Articles liés, Catégorie:Surréalisme, Catégorie:Technique littéraire, Catégorie:Technique surréaliste"
257,La Foulaison du blé en Camargue,"Donnée par Anna Klumpke au musée du Luxembourg, à Paris, en l'an 1900, l'œuvre fait désormais partie des collections du musée d'Orsay.",fr.wikipedia.org/wiki/La_Foulaison_du_bl%C3%A9_en_Camargue,"Catégorie:Article utilisant l'infobox Art, Catégorie:Article utilisant le modèle Dictionnaires inactif, Catégorie:Article utilisant une Infobox, Catégorie:Catégorie Commons avec lien local identique sur Wikidata, Catégorie:Cheval dans la peinture, Catégorie:Fouet dans la peinture, Catégorie:France dans la peinture, Catégorie:Page pointant vers des bases externes, Catégorie:Page pointant vers des bases relatives aux beaux-arts, Catégorie:Page utilisant P12065, Catégorie:Page utilisant P136, Catégorie:Page utilisant P170, Catégorie:Page utilisant P18, Catégorie:Page utilisant P186, Catégorie:Page utilisant P2048, Catégorie:Page utilisant P2049, Catégorie:Page utilisant P217, Catégorie:Page utilisant P276, Catégorie:Page utilisant P347, Catégorie:Page utilisant P4659, Catégorie:Page utilisant P571, Catégorie:Page utilisant le modèle Autorité inactif, Catégorie:Peinture en Camargue, Catégorie:Peinture inachevée, Catégorie:Portail:Agriculture et agronomie/Articles liés, Catégorie:Portail:Années 1860/Articles liés, Catégorie:Portail:Arts/Articles liés, Catégorie:Portail:Biologie/Articles liés, Catégorie:Portail:Bordeaux/Articles liés, Catégorie:Portail:Camargue/Articles liés, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:France/Articles liés, Catégorie:Portail:Gironde/Articles liés, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Monde équestre/Articles liés, Catégorie:Portail:Musée d'Orsay/Articles liés, Catégorie:Portail:Musées/Articles liés, Catégorie:Portail:Nouvelle-Aquitaine/Articles liés, Catégorie:Portail:Paris/Articles liés, Catégorie:Portail:Peinture/Articles liés, Catégorie:Portail:Protection du patrimoine/Articles liés, Catégorie:Portail:XIXe siècle/Articles liés, Catégorie:Portail:Époque contemporaine/Articles liés, Catégorie:Portail:Île-de-France/Articles liés, Catégorie:Projet:Biologie/Pages liées, Catégorie:Scène de genre, Catégorie:Tableau de Rosa Bonheur, Catégorie:Tableau réalisé en 1864, Catégorie:Wikipédia:ébauche Bordeaux, Catégorie:Wikipédia:ébauche Camargue, Catégorie:Wikipédia:ébauche agriculture, Catégorie:Wikipédia:ébauche cheval, Catégorie:Wikipédia:ébauche musée d'Orsay, Catégorie:Wikipédia:ébauche peinture, Catégorie:Œuvre conservée au musée d'Orsay, Catégorie:Œuvre conservée au musée des Beaux-Arts de Bordeaux, Catégorie:Œuvre d'art géolocalisable sans coordonnées paramétrées"
258,Lionel Logue,"Logue épouse Myrtle Gruenert, une commise de 21 ans, à la St George's Anglican Cathedral à Perth le 20 mars 1907.",fr.wikipedia.org/wiki/Lionel_Logue,"Catégorie:Article contenant un appel à traduction en anglais, Catégorie:Article de Wikipédia avec notice d'autorité, Catégorie:Article utilisant l'infobox Biographie2, Catégorie:Article utilisant l'infobox Biographie2 avec la charte par défaut, Catégorie:Article utilisant une Infobox, Catégorie:Bon article en hongrois, Catégorie:Commandeur de l'ordre royal de Victoria, Catégorie:Décès en avril 1953, Catégorie:Décès à 73 ans, Catégorie:Décès à Londres, Catégorie:George VI, Catégorie:Naissance en février 1880, Catégorie:Naissance à Adélaïde (Australie), Catégorie:Page pointant vers des bases externes, Catégorie:Page pointant vers des bases relatives aux beaux-arts, Catégorie:Page pointant vers des dictionnaires ou encyclopédies généralistes, Catégorie:Page utilisant P106, Catégorie:Page utilisant P119, Catégorie:Page utilisant P1415, Catégorie:Page utilisant P166, Catégorie:Page utilisant P1816, Catégorie:Page utilisant P1907, Catégorie:Page utilisant P27, Catégorie:Page utilisant P69, Catégorie:Page utilisant des données de Wikidata à traduire de l'anglais, Catégorie:Portail:Australie/Articles liés, Catégorie:Portail:Biographie/Articles liés/Culture et arts, Catégorie:Portail:Biographie/Articles liés/Santé, Catégorie:Portail:Biographie/Articles liés/Sciences, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:Langues/Articles liés, Catégorie:Portail:Linguistique/Articles liés, Catégorie:Portail:Océanie/Articles liés, Catégorie:Portail:Royaume-Uni/Articles liés, Catégorie:Portail:Sciences humaines et sociales/Articles liés, Catégorie:Wikipédia:Article biographique, Catégorie:Éducateur, Catégorie:Étudiant de l'université d'Adélaïde"
259,Défécation,"Cette pratique est largement rurale : au niveau mondial, 31 % des ruraux y ont recours, contre 5 % des urbains.",fr.wikipedia.org/wiki/D%C3%A9f%C3%A9cation,"Catégorie:Article contenant un appel à traduction en anglais, Catégorie:Article manquant de références/Liste complète, Catégorie:Article manquant de références depuis octobre 2020, Catégorie:Article à précision nécessaire, Catégorie:Assainissement, Catégorie:Catégorie Commons avec lien local identique sur Wikidata, Catégorie:Excrément, Catégorie:Portail:Biologie/Articles liés, Catégorie:Proctologie, Catégorie:Projet:Biologie/Pages liées, Catégorie:Réutilisation des déchets, Catégorie:Santé publique, Catégorie:Toilettes"
260,Institution d'appui à la démocratie en république démocratique du Congo,Son travail est complémentaire à celui du Conseil supérieur de l'audiovisuel et de la communication (CSAC).,fr.wikipedia.org/wiki/Institution_d%27appui_%C3%A0_la_d%C3%A9mocratie_en_r%C3%A9publique_d%C3%A9mocratique_du_Congo,"Catégorie:Article avec une section vide ou incomplète, Catégorie:Article contenant un appel à traduction en anglais, Catégorie:Politique en république démocratique du Congo, Catégorie:Portail:Afrique/Articles liés, Catégorie:Portail:Politique/Articles liés, Catégorie:Portail:République démocratique du Congo/Articles liés, Catégorie:Wikipédia:ébauche politique, Catégorie:Wikipédia:ébauche république démocratique du Congo"
261,Centrale nucléaire de Mochovce,"Les réacteurs 3 et 4, dont la construction avait commencé en 1985, étaient restés inachevés à la suite de l’effondrement du régime communiste.",fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Mochovce,"Catégorie:Article géolocalisé en Slovaquie, Catégorie:Article utilisant l'infobox Centrale nucléaire, Catégorie:Article utilisant une Infobox, Catégorie:Centrale nucléaire avec des réacteurs en construction, Catégorie:Centrale nucléaire en Slovaquie, Catégorie:Page avec coordonnées similaires sur Wikidata, Catégorie:Page avec des cartes, Catégorie:Page avec des données de géolocalisation non prises en charge, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:Industrie/Articles liés, Catégorie:Portail:Nucléaire/Articles liés, Catégorie:Portail:Slovaquie/Articles liés, Catégorie:Portail:Technologies/Articles liés, Catégorie:Portail:Économie/Articles liés, Catégorie:Portail:Énergie/Articles liés, Catégorie:Wikipédia:ébauche Slovaquie, Catégorie:Wikipédia:ébauche industrie, Catégorie:Wikipédia:ébauche nucléaire, Catégorie:Wikipédia:ébauche énergie"
263,Comté de Horn,"Ils commencent à s'intituler comtes de Horn et d'Altena, bien qu'ils ne fussent alors comte ni dans l'une ni dans l'autre de ces terres.",fr.wikipedia.org/wiki/Comt%C3%A9_de_Horn,"Catégorie:Article utilisant le modèle Dictionnaires inactif, Catégorie:Article utilisant une Infobox, Catégorie:Comté du Saint-Empire romain germanique, Catégorie:Géographie de la province de Limbourg (Pays-Bas), Catégorie:Histoire de la province de Limbourg (Belgique), Catégorie:Kinrooi, Catégorie:Leudal, Catégorie:Maasgouw, Catégorie:Maison de Hornes, Catégorie:Page utilisant le modèle Autorité inactif, Catégorie:Page utilisant un modèle Bases inactif, Catégorie:Politique dans la province de Limbourg (Pays-Bas), Catégorie:Portail:Belgique/Articles liés, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:Limbourg/Articles liés, Catégorie:Portail:Liège/Articles liés, Catégorie:Portail:Pays-Bas/Articles liés, Catégorie:Portail:Province de Liège/Articles liés, Catégorie:Portail:Région flamande/Articles liés, Catégorie:Portail:Wallonie/Articles liés, Catégorie:Territoire de la principauté de Liège, Catégorie:Weert, Catégorie:Wikipédia:ébauche histoire"
265,Gare de Saint-Denis (La Réunion),Portail de l’architecture et de l’urbanisme   Portail du chemin de fer   Alimentation et gastronomie   Portail de Saint-Denis,fr.wikipedia.org/wiki/Gare_de_Saint-Denis_(La_R%C3%A9union),"Catégorie:Architecture à Saint-Denis (La Réunion), Catégorie:Article géolocalisé en France, Catégorie:Article géolocalisé sur Terre, Catégorie:Article utilisant une Infobox, Catégorie:Catégorie Commons avec lien local identique sur Wikidata, Catégorie:Gare fermée à La Réunion, Catégorie:Histoire de Saint-Denis (La Réunion), Catégorie:Page avec coordonnées similaires sur Wikidata, Catégorie:Page avec des cartes, Catégorie:Portail:Afrique/Articles liés, Catégorie:Portail:Alimentation et gastronomie/Articles liés, Catégorie:Portail:Architecture et urbanisme/Articles liés, Catégorie:Portail:Chemin de fer/Articles liés, Catégorie:Portail:France/Articles liés, Catégorie:Portail:France d'outre-mer/Articles liés, Catégorie:Portail:La Réunion/Articles liés, Catégorie:Portail:Mascareignes/Articles liés, Catégorie:Portail:Saint-Denis (La Réunion)/Articles liés, Catégorie:Portail:Société/Articles liés, Catégorie:Portail:Technologies/Articles liés, Catégorie:Portail:Transports/Articles liés, Catégorie:Restaurant à La Réunion, Catégorie:Transport à Saint-Denis (La Réunion), Catégorie:Wikipédia:ébauche Saint-Denis (La Réunion), Catégorie:Wikipédia:ébauche alimentation, Catégorie:Wikipédia:ébauche gare"
267,Der Zigeunerprimas,"Pour sortir de la faillite, il cherche une vieille comtesse riche, mais il s'intéresse aussi à Sari.",fr.wikipedia.org/wiki/Der_Zigeunerprimas,"Catégorie:Article de Wikipédia avec notice d'autorité, Catégorie:Article utilisant le modèle Dictionnaires inactif, Catégorie:Article utilisant une Infobox, Catégorie:Article à illustrer Musique classique (œuvre), Catégorie:Opéra des années 1910, Catégorie:Opérette, Catégorie:Page pointant vers des bases externes, Catégorie:Page pointant vers des bases relatives à la musique, Catégorie:Page utilisant P435, Catégorie:Page utilisant P839, Catégorie:Portail:Années 1910/Articles liés, Catégorie:Portail:Autriche/Articles liés, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Musique/Articles liés, Catégorie:Portail:Musique classique/Articles liés, Catégorie:Portail:Opéra/Articles liés, Catégorie:Portail:XXe siècle/Articles liés, Catégorie:Portail:Époque contemporaine/Articles liés, Catégorie:Œuvre d'Emmerich Kálmán, Catégorie:Œuvre musicale composée en 1912"
268,Nukak (langue),"(pt) Silvana Andrade Martins, Fonologia e gramática dâw, Utrecht, LOT Publications, 2004 (ISBN 90-76864-65-9, lire en ligne)",fr.wikipedia.org/wiki/Nukak_(langue),"Catégorie:Article utilisant une Infobox, Catégorie:Inventaire de langues, Catégorie:Inventaire de langues amérindiennes, Catégorie:Langue amérindienne en Amérique du Sud, Catégorie:Langue amérindienne en Colombie, Catégorie:Langue maku, Catégorie:Langue sérieusement en danger, Catégorie:Portail:Amérique/Articles liés, Catégorie:Portail:Amérique du Sud/Articles liés, Catégorie:Portail:Amérique précolombienne/Articles liés, Catégorie:Portail:Colombie/Articles liés, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Langues/Articles liés, Catégorie:Portail:Langues/Articles liés directement, Catégorie:Portail:Monde antique/Articles liés, Catégorie:Portail:Société/Articles liés, Catégorie:Wikipédia:ébauche langue"
269,Africanisme (courant artistique),"Lynne Thornton, Les Africanistes, peintres voyageurs : 1860-1960, Paris, ACR édition, 1998 (ISBN 978-2867700453, lire en ligne)",fr.wikipedia.org/wiki/Africanisme_(courant_artistique),"Catégorie:Afrique dans la fiction, Catégorie:Article manquant de références/Liste complète, Catégorie:Article manquant de références depuis février 2020, Catégorie:Mouvement artistique, Catégorie:Portail:Afrique/Articles liés, Catégorie:Portail:Arts/Articles liés, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Histoire de l'art/Articles liés, Catégorie:Portail:Littérature/Articles liés, Catégorie:Wikipédia:ébauche art, Catégorie:Wikipédia:ébauche littérature"
270,"Affaire de l'étude de Rind, Tromovitch et Bauserman","La condamnation d'une étude scientifique par le Congrès était, à cette époque, un événement sans précédent.","fr.wikipedia.org/wiki/Affaire_de_l%27%C3%A9tude_de_Rind,_Tromovitch_et_Bauserman","Catégorie:Apologie de la pédophilie, Catégorie:Controverse en psychologie, Catégorie:Controverse scientifique, Catégorie:Histoire de la psychologie, Catégorie:Histoire de la sexologie, Catégorie:Politique aux États-Unis, Catégorie:Portail:Amérique/Articles liés, Catégorie:Portail:Amérique du Nord/Articles liés, Catégorie:Portail:Psychologie/Articles liés, Catégorie:Portail:Sciences/Articles liés, Catégorie:Portail:Sciences humaines et sociales/Articles liés, Catégorie:Portail:Sexualité et sexologie/Articles liés, Catégorie:Portail:États-Unis/Articles liés"
272,Fika (pause café),"Le mot a une connotation tout à fait ambiguë[pas clair], et peut désigner un rendez-vous avec votre patron.",fr.wikipedia.org/wiki/Fika_(pause_caf%C3%A9),"Catégorie:Article contenant un appel à traduction en anglais, Catégorie:Article à référence souhaitée, Catégorie:Café dans la culture, Catégorie:Culture suédoise, Catégorie:Gastronomie suédoise, Catégorie:Portail:Alimentation et gastronomie/Articles liés, Catégorie:Portail:Boisson/Articles liés, Catégorie:Portail:Café/Articles liés, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:Psychotrope/Articles liés, Catégorie:Portail:Suède/Articles liés, Catégorie:Repas, Catégorie:Wikipédia:ébauche Suède, Catégorie:Wikipédia:ébauche café, Catégorie:Wikipédia:ébauche culture"
274,Whitecap Resources,2 millions de tonnes de CO2 sont entreposés chaque année dans le cadre de la récupération assistée du CO2.,fr.wikipedia.org/wiki/Whitecap_Resources,"Catégorie:Article utilisant le modèle Dictionnaires inactif, Catégorie:Article utilisant une Infobox, Catégorie:Article à illustrer Entreprise, Catégorie:Compagnie pétrolière ayant son siège au Canada, Catégorie:Entreprise fondée en 2001, Catégorie:Page utilisant P856, Catégorie:Page utilisant le modèle Autorité inactif, Catégorie:Page utilisant un modèle Bases inactif, Catégorie:Portail:Alberta/Articles liés, Catégorie:Portail:Amérique/Articles liés, Catégorie:Portail:Amérique du Nord/Articles liés, Catégorie:Portail:Calgary/Articles liés, Catégorie:Portail:Canada/Articles liés, Catégorie:Portail:Entreprises/Articles liés, Catégorie:Portail:Technologies/Articles liés, Catégorie:Portail:Économie/Articles liés, Catégorie:Portail:Énergie/Articles liés, Catégorie:Portail:Énergie fossile/Articles liés, Catégorie:Société cotée au TSX, Catégorie:Wikipédia:ébauche Canada, Catégorie:Wikipédia:ébauche entreprise, Catégorie:Wikipédia:ébauche énergie"
275,Tireuse numérique,"Noritsu Koki (Japon) (plus de 50 % des actions tenues par la famille Nishimoto, créateur du Minilab).",fr.wikipedia.org/wiki/Tireuse_num%C3%A9rique,"Catégorie:Matériel photographique, Catégorie:Portail:Arts/Articles liés, Catégorie:Portail:Photographie/Articles liés"
276,Rôle social,"Ces rôles sont les comportements attendus d’un individu (ou parfois d'une organisation), dans l’exercice d’une fonction qui renvoie au statut social.",fr.wikipedia.org/wiki/R%C3%B4le_social,"Catégorie:Anthropologie, Catégorie:Article de Wikipédia avec notice d'autorité, Catégorie:Article manquant de références/Liste complète, Catégorie:Article manquant de références depuis janvier 2020, Catégorie:Concept sociologique, Catégorie:Jeu de rôle, Catégorie:Page pointant vers des bases externes, Catégorie:Page pointant vers des bases relatives à la santé, Catégorie:Page pointant vers des dictionnaires ou encyclopédies généralistes, Catégorie:Page utilisant P1296, Catégorie:Page utilisant P1417, Catégorie:Page utilisant P3219, Catégorie:Page utilisant P486, Catégorie:Portail:Anthropologie/Articles liés, Catégorie:Portail:Sciences humaines et sociales/Articles liés, Catégorie:Portail:Sociologie/Articles liés, Catégorie:Portail:Société/Articles liés, Catégorie:Wikipédia:ébauche sociologie"
277,Décennie 1330 en arts plastiques,1333 : Simone Martini et Lippo Memmi peignent le triptyque de l'Annonciation entre les saints Ansan et Marguerite pour la cathédrale de Sienne.,fr.wikipedia.org/wiki/D%C3%A9cennie_1330_en_arts_plastiques,"Catégorie:Années 1330, Catégorie:Chronologie des arts plastiques, Catégorie:Portail:Arts/Articles liés, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Histoire de l'art/Articles liés, Catégorie:Portail:Moyen Âge/Articles liés, Catégorie:Portail:Moyen Âge tardif/Articles liés"
278,Sere (langue),(en) Cet article est partiellement ou en totalité issu de l’article de Wikipédia en anglais intitulé « Sere language » (voir la liste des auteurs).,fr.wikipedia.org/wiki/Sere_(langue),"Catégorie:Article avec une section vide ou incomplète, Catégorie:Article utilisant une Infobox, Catégorie:Article à illustrer Langue, Catégorie:Inventaire de langues, Catégorie:Langue oubanguienne, Catégorie:Portail:Afrique/Articles liés, Catégorie:Portail:Langues/Articles liés, Catégorie:Portail:Langues/Articles liés directement, Catégorie:Portail:République démocratique du Congo/Articles liés, Catégorie:Portail:Société/Articles liés, Catégorie:Wikipédia:ébauche langue, Catégorie:Wikipédia:ébauche république démocratique du Congo"
279,Connecteur logique (linguistique),L'étude des connecteurs intègre ainsi les perspectives de la grammaire de texte et celle de la pragmatique.,fr.wikipedia.org/wiki/Connecteur_logique_(linguistique),"Catégorie:Article manquant de références/Liste complète, Catégorie:Article manquant de références depuis mars 2016, Catégorie:Grammaire textuelle, Catégorie:Lexicologie, Catégorie:Portail:Langues/Articles liés, Catégorie:Portail:Linguistique/Articles liés, Catégorie:Portail:Sciences humaines et sociales/Articles liés, Catégorie:Syntaxe, Catégorie:Wikipédia:ébauche linguistique"
280,Plage d'Oreti,(en) Cet article est partiellement ou en totalité issu de l’article de Wikipédia en anglais intitulé « Oreti Beach » (voir la liste des auteurs).,fr.wikipedia.org/wiki/Plage_d%27Oreti,"Catégorie:Détroit de la mer de Tasman, Catégorie:Détroit en Nouvelle-Zélande, Catégorie:Invercargill, Catégorie:Portail:Maritime/Articles liés, Catégorie:Portail:Nouvelle-Zélande/Articles liés, Catégorie:Portail:Océan Pacifique/Articles liés, Catégorie:Portail:Océanie/Articles liés, Catégorie:Portail:Océans/Articles liés, Catégorie:Southland, Catégorie:Wikipédia:ébauche Nouvelle-Zélande, Catégorie:Wikipédia:ébauche géographie"
281,Sony Alpha 380,Le Sony Alpha 380 (typographié α 380) est un reflex d'entrée de gamme commercialisé à partir du premier trimestre 2009 par Sony.,fr.wikipedia.org/wiki/Sony_Alpha_380,"Catégorie:Article avec une section vide ou incomplète, Catégorie:Article utilisant une Infobox, Catégorie:Catégorie Commons avec lien local identique sur Wikidata, Catégorie:Portail:Arts/Articles liés, Catégorie:Portail:Photographie/Articles liés, Catégorie:Produit lancé en 2009, Catégorie:Sony Alpha, Catégorie:Wikipédia:ébauche photographie"
282,Jean Rouvier,"Du Pouvoir dans la République romaine : Réalité et légitimité, étude sur le consensus, Paris, Nouvelles Éditions Latines, 1963",fr.wikipedia.org/wiki/Jean_Rouvier,"Catégorie:Agrégé d'histoire du droit, Catégorie:Article avec une section vide ou incomplète, Catégorie:Article de Wikipédia avec notice d'autorité, Catégorie:Article utilisant l'infobox Biographie2, Catégorie:Article utilisant l'infobox Biographie2 avec une charte sans catégorie, Catégorie:Article utilisant une Infobox, Catégorie:Article à illustrer Biographie, Catégorie:Article à référence nécessaire, Catégorie:Docteur en droit, Catégorie:Décès en Loir-et-Cher, Catégorie:Décès en juillet 2018, Catégorie:Décès à 91 ans, Catégorie:Enseignant à l'université Panthéon-Assas, Catégorie:Historien du droit, Catégorie:Historien français du XXe siècle, Catégorie:Lauréat du grand prix Gobert, Catégorie:Naissance au Vésinet, Catégorie:Naissance en Seine-et-Oise, Catégorie:Naissance en mai 1927, Catégorie:Page pointant vers des bases externes, Catégorie:Page pointant vers des bases relatives à la littérature, Catégorie:Page pointant vers des dictionnaires ou encyclopédies généralistes, Catégorie:Page utilisant P106, Catégorie:Page utilisant P108, Catégorie:Page utilisant P1477, Catégorie:Page utilisant P166, Catégorie:Page utilisant P184, Catégorie:Page utilisant P19, Catégorie:Page utilisant P20, Catégorie:Page utilisant P27, Catégorie:Page utilisant P40, Catégorie:Page utilisant P5645, Catégorie:Page utilisant P569, Catégorie:Page utilisant P570, Catégorie:Page utilisant P7902, Catégorie:Portail:Biographie/Articles liés/Culture et arts, Catégorie:Portail:Droit/Articles liés, Catégorie:Portail:Droit français/Articles liés, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:France/Articles liés, Catégorie:Portail:Historiographie/Articles liés, Catégorie:Portail:Société/Articles liés, Catégorie:Wikipédia:Article biographique"
286,Design de marque,Ce vocabulaire de mots et d’images symboliques exprimant la personnalité d’une marque évolue dans le temps avec la marque elle-même.,fr.wikipedia.org/wiki/Design_de_marque,"Catégorie:Article avec une section vide ou incomplète, Catégorie:Article manquant de références/Liste complète, Catégorie:Article manquant de références depuis janvier 2015, Catégorie:Design, Catégorie:Marque, Catégorie:Politique de produit, Catégorie:Portail:Design/Articles liés, Catégorie:Portail:Entreprises/Articles liés, Catégorie:Portail:Économie/Articles liés"
287,Rab (dignitaire punique),Cette dignité est vraisemblablement liée à l'institution du Conseil des Anciens instaurée par la constitution de Carthage.,fr.wikipedia.org/wiki/Rab_(dignitaire_punique),"Catégorie:Civilisation carthaginoise, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Phéniciens, Carthage et monde punique/Articles liés, Catégorie:Wikipédia:ébauche histoire"
288,Langues en Asie,Les langues afro-asiatiques sont représentées en Asie par les langues sémitiques parlées au Proche-Orient.,fr.wikipedia.org/wiki/Langues_en_Asie,"Catégorie:Article contenant un appel à traduction en anglais, Catégorie:Langue en Asie, Catégorie:Portail:Asie/Articles liés, Catégorie:Portail:Langues/Articles liés, Catégorie:Portail:Langues/Articles liés directement, Catégorie:Portail:Société/Articles liés, Catégorie:Wikipédia:ébauche Asie, Catégorie:Wikipédia:ébauche linguistique"
289,Joachim de Danemark,"Puis il est pensionnaire pendant un an à l'École des Roches, à Verneuil-sur-Avre (France), avec son frère Frederik de 1982 à 1983.",fr.wikipedia.org/wiki/Joachim_de_Danemark,"Catégorie:Article utilisant une Infobox, Catégorie:Famille de Laborde de Monpezat, Catégorie:Grand-croix de l'ordre d'Adolphe de Nassau, Catégorie:Grand-croix de l'ordre de l'Étoile de Roumanie, Catégorie:Grand-croix de l'ordre de la Couronne, Catégorie:Grand-croix de l'ordre du Mérite de la République fédérale d'Allemagne, Catégorie:Grand-croix de l'ordre du Phénix, Catégorie:Grand-croix de l'ordre national de la Croix du Sud, Catégorie:Grand-croix de l'ordre royal de l'Étoile polaire, Catégorie:Grand commandeur de l'ordre de Dannebrog, Catégorie:Naissance en juin 1969, Catégorie:Naissance à Copenhague, Catégorie:Portail:Biographie/Articles liés/Général, Catégorie:Portail:Danemark/Articles liés, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:Monarchie/Articles liés, Catégorie:Prince danois du XXIe siècle, Catégorie:Prince danois du XXe siècle, Catégorie:Wikipédia:Article biographique, Catégorie:Wikipédia:ébauche histoire, Catégorie:Wikipédia:ébauche personnalité danoise, Catégorie:Élève de l'École des Roches"
290,Nyapligué,"Nyapligué  est une localité du Nord de la Côte d'Ivoire et appartenant au département de Boundiali, dans la Région des Savanes.",fr.wikipedia.org/wiki/Nyapligu%C3%A9,"Catégorie:Commune en Côte d'Ivoire, Catégorie:Portail:Côte d'Ivoire/Articles liés, Catégorie:Portail:Géographie/Articles liés, Catégorie:Wikipédia:Pomme/Liste complète, Catégorie:Wikipédia:Pomme créée en 2009, Catégorie:Wikipédia:Pomme présentée sur le bistro en 2022, Catégorie:Wikipédia:ébauche Côte d'Ivoire, Catégorie:Wikipédia:ébauche géographie"
291,Historiographie du fascisme,Ces historiens s'intéressent aux structures lourdes de la société plutôt qu'aux changements apparents.,fr.wikipedia.org/wiki/Historiographie_du_fascisme,"Catégorie:Article avec une section vide ou incomplète, Catégorie:Fascisme, Catégorie:Historiographie, Catégorie:Historiographie de la Seconde Guerre mondiale, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Histoire militaire/Articles liés, Catégorie:Portail:Historiographie/Articles liés, Catégorie:Portail:Politique/Articles liés, Catégorie:Portail:Seconde Guerre mondiale/Articles liés, Catégorie:Portail:XXe siècle/Articles liés, Catégorie:Portail:Époque contemporaine/Articles liés, Catégorie:Wikipédia:ébauche histoire, Catégorie:Wikipédia:ébauche politique"
292,Préfixe (linguistique),Le premier et le deuxième types d'éléments sont les seuls qui peuvent être considérés en tant que préfixes.,fr.wikipedia.org/wiki/Pr%C3%A9fixe_(linguistique),"Catégorie:Article avec section à délister, Catégorie:Article à délister, Catégorie:Portail:Langues/Articles liés, Catégorie:Portail:Linguistique/Articles liés, Catégorie:Portail:Sciences humaines et sociales/Articles liés, Catégorie:Préfixe, Catégorie:Wikipédia:ébauche linguistique"
293,CHI Health Center Omaha,Cela fait suite à un accord de sponsoring avec la société hospitalière CHI Health basée dans le pays.,fr.wikipedia.org/wiki/CHI_Health_Center_Omaha,"Catégorie:Article géolocalisé aux États-Unis, Catégorie:Article utilisant l'infobox Stade, Catégorie:Article utilisant une Infobox, Catégorie:Bluejays de Creighton, Catégorie:Centre de congrès aux États-Unis, Catégorie:Mavericks d'Omaha, Catégorie:Page avec coordonnées similaires sur Wikidata, Catégorie:Page avec des cartes, Catégorie:Page utilisant P631, Catégorie:Patinoire de hockey dans le Nebraska, Catégorie:Portail:Amérique/Articles liés, Catégorie:Portail:Amérique du Nord/Articles liés, Catégorie:Portail:Architecture et urbanisme/Articles liés, Catégorie:Portail:Arts/Articles liés, Catégorie:Portail:Arts du spectacle/Articles liés, Catégorie:Portail:Basket-ball/Articles liés, Catégorie:Portail:Hockey sur glace/Articles liés, Catégorie:Portail:Nebraska/Articles liés, Catégorie:Portail:Sport/Articles liés, Catégorie:Portail:Sports d'hiver/Articles liés, Catégorie:Portail:États-Unis/Articles liés, Catégorie:Salle de basket-ball dans le Nebraska, Catégorie:Salle de basket-ball universitaire aux États-Unis, Catégorie:Salle de concert aux États-Unis, Catégorie:Sport à Omaha (Nebraska), Catégorie:Stade multifonction aux États-Unis, Catégorie:Stade portant le nom d'une entreprise, Catégorie:Wikipédia:ébauche sport, Catégorie:Équipement sportif achevé en 2003"
298,Gouvernement du 9e Dáil,Le Fianna Fáil continue à exercer ses fonctions en tant que gouvernement à parti unique comme il le fait depuis les élections générales de 1932.,fr.wikipedia.org/wiki/Gouvernement_du_9e_D%C3%A1il,"Catégorie:Article manquant de références/Liste complète, Catégorie:Article manquant de références depuis novembre 2020, Catégorie:Article utilisant une Infobox, Catégorie:Gouvernement de l'Irlande, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:Irlande/Articles liés, Catégorie:Portail:Politique/Articles liés, Catégorie:Wikipédia:ébauche politique"
