index,title,random_sentence,simplified,url,categories,method
430,Patricien (Moyen Âge et Temps modernes),Les patriciens étaient généralement membres des conseils municipaux et s'appropriaient les fonctions civiques les plus importantes.,Les patriciens étaient souvent membres des conseils de ville et prenaient les rôles publics les plus importants.,fr.wikipedia.org/wiki/Patricien_(Moyen_%C3%82ge_et_Temps_modernes),"Article contenant un appel à traduction en allemand, Article contenant un lien mort, Article de Wikipédia avec notice d'autorité, Groupe social, Page pointant vers des bases externes, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P5019, Page utilisant un modèle Bases inactif, Portail:Histoire/Articles liés, Portail:Moyen Âge/Articles liés",Substitution de mots complexes
434,Zubr (Biélorussie),Zubr signifie bison en référence au dernier peuplement de bison d'Europe qui ne survivent plus que dans une forêt entre la Pologne et la Biélorussie.,Zubr signifie bison en référence au dernier peuplement de bison d'Europe qui survivent uniquement dans une forêt entre la Pologne et la Biélorussie.,fr.wikipedia.org/wiki/Zubr_(Bi%C3%A9lorussie),"Article contenant un appel à traduction en anglais, Article contenant un appel à traduction en biélorusse, Article contenant un appel à traduction en orthographe classique biélorusse, Article contenant un appel à traduction en russe, Mouvement démocratique biélorusse, Politique en Biélorussie, Portail:Biélorussie/Articles liés, Portail:Europe/Articles liés, Portail:Politique/Articles liés, Wikipédia:ébauche Biélorussie, Wikipédia:ébauche politique",Propositions positives au lieu de négatives
438,Étude probabiliste de sûreté,"Cette méthode a été utilisée pour vérifier la sûreté des centrales nucléaires, qui repose sur une conception déterministe (Défense en profondeur).","On a utilisé cette méthode pour vérifier la sûreté des centrales nucléaires, qui repose sur une conception déterministe (Défense en profondeur).",fr.wikipedia.org/wiki/%C3%89tude_probabiliste_de_s%C3%BBret%C3%A9,"Industrie, Ingénierie, Portail:Industrie/Articles liés, Portail:Probabilités et statistiques/Articles liés, Portail:Sciences/Articles liés, Portail:Technologies/Articles liés, Portail:Économie/Articles liés, Projet:Mathématiques/Articles, Sûreté de fonctionnement, Wikipédia:ébauche sécurité",Formes actives au lieu de passives
440,Torm (entreprise),La société est cotée à Copenhague (elle est incluse dans l'indice OMX Copenhagen) et au NASDAQ de New York.,La société est cotée à Copenhague et au NASDAQ de New York.,fr.wikipedia.org/wiki/Torm_(entreprise),"Article contenant un appel à traduction en anglais, Article manquant de références/Liste complète, Article manquant de références depuis juin 2023, Article utilisant une Infobox, Article à illustrer Entreprise, Compagnie maritime, Entreprise ayant son siège à Copenhague, Industrie pétrolière au Danemark, Page utilisant P112, Page utilisant P127, Page utilisant P1454, Page utilisant P159, Page utilisant P414, Page utilisant P452, Page utilisant P571, Page utilisant P856, Page utilisant des données de Wikidata à traduire de l'anglais, Portail:Danemark/Articles liés, Portail:Entreprises/Articles liés, Portail:Europe/Articles liés, Portail:Maritime/Articles liés, Portail:Technologies/Articles liés, Portail:Économie/Articles liés, Portail:Énergie/Articles liés, Portail:Énergie fossile/Articles liés, Transport de l'énergie, Wikipédia:Pomme/Liste complète, Wikipédia:Pomme créée en 2015, Wikipédia:Pomme présentée sur le bistro en 2023",Éviter les parenthèses et les incises
455,Capitale de l'Italie,Rome ne devint la capitale définitive du royaume qu'en 1871 après la conquête du Latium et que le pape ne se soit réfugié au sein du Vatican.,Rome devint la capitale définitive du royaume en 1871 après la conquête du Latium et le refuge du pape au Vatican.,fr.wikipedia.org/wiki/Capitale_de_l%27Italie,"Article manquant de références/Liste complète, Article manquant de références depuis mars 2017, Article utilisant le modèle Dictionnaires inactif, Capitale en Europe, Page utilisant le modèle Autorité inactif, Page utilisant un modèle Bases inactif, Portail:Europe/Articles liés, Portail:Géographie/Articles liés, Portail:Histoire/Articles liés, Portail:Italie/Articles liés, Ville en Italie, Wikipédia:ébauche Italie, Wikipédia:ébauche géographie, Wikipédia:ébauche histoire",Propositions positives au lieu de négatives
461,Portrait de la journaliste Sylvia von Harden,"L’absence d’éléments décoratifs du fond accentue la « présence » forte du personnage, rien ne venant distraire le regard.","L’absence d’éléments décoratifs accentue la « présence » forte du personnage, concentrant entièrement le regard sur lui.",fr.wikipedia.org/wiki/Portrait_de_la_journaliste_Sylvia_von_Harden,"Article utilisant l'infobox Art, Article utilisant une Infobox, Article à illustrer Art, Cigarette dans la peinture, Nouvelle objectivité, Page pointant vers des bases externes, Page pointant vers des bases relatives aux beaux-arts, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P135, Page utilisant P136, Page utilisant P217, Page utilisant P6058, Page utilisant P6323, Page utilisant P6355, Page utilisant le modèle Autorité inactif, Portail:Allemagne/Articles liés, Portail:Années 1920/Articles liés, Portail:Art contemporain/Articles liés, Portail:Arts/Articles liés, Portail:Centre Pompidou/Articles liés, Portail:Entre-deux-guerres/Articles liés, Portail:Europe/Articles liés, Portail:France/Articles liés, Portail:Histoire/Articles liés, Portail:Paris/Articles liés, Portail:Peinture/Articles liés, Portail:XXe siècle/Articles liés, Portail:Époque contemporaine/Articles liés, Portail:Île-de-France/Articles liés, Portrait de femme, Tableau d'Otto Dix, Tableau réalisé en 1926, Œuvre conservée au musée national d'Art moderne",Propositions positives au lieu de négatives
466,Embauchoir,"Il existe également des embauchoirs simples, en plastique ou en métal embouti, avec ou sans ressort.",Il existe également des embauchoirs simples en plastique ou en métal embouti.,fr.wikipedia.org/wiki/Embauchoir,"Accessoire lié à la chaussure, Catégorie Commons avec lien local identique sur Wikidata, Portail:Culture/Articles liés, Portail:Mode/Articles liés, Portail:Technologies/Articles liés, Wikipédia:ébauche mode et vêtement",Élimination des informations non essentielles
478,DAZN,Le service est décrit par le Evening Standard comme l'une des rares « licornes » technologiques du Royaume-Uni.,Le Evening Standard décrit le service comme l'une des rares « licornes » technologiques du Royaume-Uni.,fr.wikipedia.org/wiki/DAZN,"Article utilisant une Infobox, Article à illustrer Entreprise, Chaîne de télévision sportive, Entreprise fondée en 2016, Page utilisant P127, Page utilisant P159, Page utilisant P571, Page utilisant P856, Portail:Entreprises/Articles liés, Portail:Informatique/Articles liés, Portail:Internet/Articles liés, Portail:Médias/Articles liés, Portail:Société/Articles liés, Portail:Sport/Articles liés, Portail:Économie/Articles liés, Vidéo à la demande, Wikipédia:ébauche Internet, Wikipédia:ébauche entreprise, Wikipédia:ébauche sport",Formes actives au lieu de passives
489,Front haut,"Cette coiffure était en vogue au Moyen Âge chez les femmes de la noblesse européenne, et constituait alors un critère de beauté.",Cette coiffure était en vogue au Moyen Âge chez les femmes de la noblesse européenne.,fr.wikipedia.org/wiki/Front_haut,"Mode gabber, Portail:Culture/Articles liés, Portail:Gabber/Articles liés, Portail:Histoire/Articles liés, Portail:Mode/Articles liés, Portail:Moyen Âge/Articles liés, Portail:Musique électronique/Articles liés, Portail:Médias/Articles liés, Portail:Pays-Bas/Articles liés, Type de coiffure, Wikipédia:ébauche Moyen Âge, Wikipédia:ébauche gabber, Wikipédia:ébauche mode et vêtement",Élimination des informations non essentielles
500,Culture de Sao Tomé-et-Principe,"Les pratiques sociales, rituels et événements festifs relèvent (pour partie) du patrimoine culturel immatériel de l'humanité.","Les pratiques sociales, rituels et événements festifs relèvent du patrimoine culturel immatériel de l'humanité.",fr.wikipedia.org/wiki/Culture_de_Sao_Tom%C3%A9-et-Principe,"Article avec une section vide ou incomplète, Article contenant un appel à traduction en anglais, Catégorie Commons avec lien local identique sur Wikidata, Culture santoméenne, Portail:Afrique/Articles liés, Portail:Culture/Articles liés, Portail:Lusophonie/Articles liés, Portail:Sao Tomé-et-Principe/Articles liés, Wikipédia:ébauche Sao Tomé-et-Principe, Wikipédia:ébauche culture",Éviter les parenthèses et les incises
501,Le Père Goriot,"Ce personnage, que Balzac appelait une « colonne vertébrale » de La Comédie humaine, apparaît pour la première fois dans ce roman.",Ce personnage de La Comédie humaine apparaît pour la première fois dans ce roman.,fr.wikipedia.org/wiki/Le_P%C3%A8re_Goriot,,Suppression des clauses complexes
502,Carl Sagan,"La sonde Phoenix, qui a quitté la Terre le 4 août 2007, a emporté à son bord un message audio de Carl Sagan destiné aux futurs colons de la planète Mars.",La sonde Phoenix a quitté la Terre le 4 août 2007 avec un message audio de Carl Sagan pour les futurs colons de la planète Mars.,fr.wikipedia.org/wiki/Carl_Sagan,,Transformation des propositions relatives
503,Moby-Dick,"Melville, qui fut lui aussi marin, et notamment baleinier de 1840 à 1842, comme la plupart des héros de ses romans, s'est inspiré de faits réels.","Melville, un marin et baleinier de 1840 à 1842, s'inspire de faits réels dans ses romans.",fr.wikipedia.org/wiki/Moby-Dick,,Suppression des clauses complexes
504,Océan Pacifique,"Le qualificatif de Pacifique est donné à cet océan par le navigateur portugais Fernand de Magellan en 1520, en raison des eaux calmes qu'il y rencontre.",Le navigateur portugais Fernand de Magellan a nommé cet océan 'Pacifique' en 1520 pour ses eaux calmes.,fr.wikipedia.org/wiki/Oc%C3%A9an_Pacifique,,Suppression des clauses complexes
505,Matrix (film),Neo prend la décision d'aller les affronter pour sauver Morpheus mais au mépris de sa vie après une longue course-poursuite.,"Neo décide d'affronter les ennemis pour sauver Morpheus, risquant sa vie.",fr.wikipedia.org/wiki/Matrix_(film),,Suppression des clauses complexes
506,Tunnelier,Un tunnelier est une machine permettant d'excaver des tunnels dans des sols et des roches variées allant du sable au granite.,"Un tunnelier est une machine qui creuse des tunnels dans différents types de sols, du sable au granite.",fr.wikipedia.org/wiki/Tunnelier,,Substitution de mots complexes
507,Parapente,"Le parapente est un aéronef dérivé du parachute, permettant la pratique du vol libre ou du paramoteur.","Le parapente, dérivé du parachute, permet le vol libre ou le paramoteur.",fr.wikipedia.org/wiki/Parapente,,Omission des mots redondants
508,"Titanic (film, 1997)","Intégrant à la fois des aspects historiques et fictifs, le film est basé sur le récit du naufrage du RMS Titanic et met en vedette Leonardo DiCaprio et Kate Winslet.","Mélangeant histoire et fiction, le film raconte le naufrage du Titanic et met en avant Leonardo DiCaprio et Kate Winslet.","fr.wikipedia.org/wiki/Titanic_(film,_1997)",,Substitution de mots complexes
509,Langues sémitiques,"L’existence des langues sémitiques remonte à plus de quatre millénaires, avec l’akkadien et l’ougaritique.","Les langues sémitiques existent depuis plus de quatre millénaires, avec l’akkadien et l’ougaritique.",fr.wikipedia.org/wiki/Langues_sémitiques,,Omission des mots redondants
510,Rodion Raskolnikov,Une lettre reçue de sa mère change la donne : elle lui écrit que le mariage de sa sœur est prévu bientôt avec un certain Loujine.,"Une lettre de sa mère révèle que sa sœur va bientôt épouser un certain Loujine, changeant ses plans",fr.wikipedia.org/wiki/Rodion_Raskolnikov,,Transformation des propositions relatives
511,Révolution française,Le roi doit consentir à quitter Versailles (qu'il ne reverra jamais) et est escorté par la foule à Paris.,Le roi consent à quitter Versailles et est escorté à Paris.,fr.wikipedia.org/wiki/Révolution_française,,Éviter les parenthèses et les incises
512,Manga,"Les manga ont fortement influencé la culture japonaise dans le domaine de l'animation, de la musique et du jeu vidéo.","Les mangas ont influencé la culture japonaise dans l'animation, la musique et les jeux vidéo.",fr.wikipedia.org/wiki/Manga,,Omission des mots redondants
513,Histoire d'Internet,La somme de tous ces développements conduisit au « réseau des réseaux » (network of networks) que nous connaissons aujourd’hui en tant qu'Internet.,"Tous ces développements ont abouti à l'Internet, également connu sous le nom de « réseau des réseaux.",fr.wikipedia.org/wiki/Histoire_d%27Internet,,Omission des mots redondants
514,Dualité onde-corpuscule,Ce principe met en évidence le caractère fondamentalement probabiliste de la mécanique quantique.,Ce principe montre que la mécanique quantique est fondamentalement probabiliste.,fr.wikipedia.org/wiki/Dualité_onde-corpuscule,,Substitution de mots complexes
515,Cuisine méditerranéenne,"Divers auteurs ont souhaité définir la portée de la cuisine méditerranéenne soit par la géographie, soit par ses ingrédients de base.",Divers auteurs ont défini la cuisine méditerranéenne par sa géographie ou ses ingrédients de base.,fr.wikipedia.org/wiki/Cuisine_méditerranéenne,,Omission des mots redondants
516,Chirurgie,"Il n'y a plus qu'un enseignement unique comprenant la médecine, la chirurgie et les accouchements.","L'enseignement est désormais unifié, incluant médecine, chirurgie et accouchements.",fr.wikipedia.org/wiki/Chirurgie,,Suppression des clauses complexes
517,Amazone (fleuve),Il est le plus grand fleuve du monde en termes de débit d'eau et l'un des plus grands en termes de longueur.,C'est le plus grand fleuve du monde en débit d'eau et l'un des plus longs.,fr.wikipedia.org/wiki/Amazone_(fleuve),,Omission des mots redondants
